"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"24677","Yes","24 June 2016 - 9:56am EDT","7 July 2016 - 4:29pm EDT","http://usfsc.grscicoll.org/institution/doinps-bighorn-canyon-national-recreation-area","DOI/NPS, Bighorn Canyon National Recreation Area",,"No","BICA",,,"www.nps.gov/bica",,,,"http://usfsc.grscicoll.org/cool/nvyi-m17z","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","Bighorn Canyon National Recreation Area Headquarters Office","PO Box 7458",,"Fort Smith","MT","59035","USA",,,,,,,,,,"24642",,,,,
"24678","Yes","24 June 2016 - 10:00am EDT","7 July 2016 - 4:29pm EDT","http://usfsc.grscicoll.org/institution/doinps-big-thicket-national-preserve","DOI/NPS, Big Thicket National Preserve",,"No","BITH",,,"www.nps.gov/bith",,,,"http://usfsc.grscicoll.org/cool/n6ad-3pcd","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","6044 FM 420",,,"Kountze","TX","77625","USA",,,,,,,,,,"24642",,,,,
"24679","Yes","24 June 2016 - 10:05am EDT","7 July 2016 - 4:29pm EDT","http://usfsc.grscicoll.org/institution/doinps-black-canyon-gunnison-national-park","DOI/NPS, Black Canyon of the Gunnison National Park",,"No","BLCA",,,"www.nps.gov/blca",,,,"http://usfsc.grscicoll.org/cool/8r6y-eh1y","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","102 Elk Creek",,,"Gunnison","CO","81230","USA",,,,,,,,,,"24642",,,,,
"24680","Yes","24 June 2016 - 11:11am EDT","7 July 2016 - 4:30pm EDT","http://usfsc.grscicoll.org/institution/doinps-bryce-canyon-national-park","DOI/NPS, Bryce Canyon National Park",,"No","BRCA",,,"www.nps.gov/brca",,,,"http://usfsc.grscicoll.org/cool/v727-ptg7","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 640201",,,"Bryce","UT","84764","USA",,,,,,,,,,"24642",,,,,
"24681","Yes","24 June 2016 - 11:14am EDT","7 July 2016 - 4:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-canyon-de-chelly-national-monument","DOI/NPS, Canyon De Chelly National Monument",,"No","CACH",,,"www.nps.gov/cach",,,,"http://usfsc.grscicoll.org/cool/ip77-v9ww","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 588",,,"Chinle","AZ","86503","USA",,,,,,,,,,"24642",,,,,
"24682","Yes","24 June 2016 - 11:16am EDT","7 July 2016 - 4:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-casa-grande-ruines-national-monument","DOI/NPS, Casa Grande Ruines National Monument",,"No","CAGR",,,"www.nps.gov/cagr",,,,"http://usfsc.grscicoll.org/cool/03sm-rae9","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","1100 W. Ruins Drive",,,"Coolidge","AZ","85128","USA",,,,,,,,,,"24642",,,,,
"24683","Yes","24 June 2016 - 11:19am EDT","7 July 2016 - 4:31pm EDT","http://usfsc.grscicoll.org/institution/doinps-canyonlands-national-park","DOI/NPS, Canyonlands National Park",,"No","CANY",,,"www.nps.gov/cany",,,,"http://usfsc.grscicoll.org/cool/j22q-ieea","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","2282 Resource Blvd.",,,"Moab","UT","84532","USA",,,,,,,,,,"24642",,,,,
"24684","Yes","24 June 2016 - 11:24am EDT","7 July 2016 - 5:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-capitol-reef-national-park","DOI/NPS, Capitol Reef National Park",,"No","CARE",,,"www.nps.gov/care",,,,"http://usfsc.grscicoll.org/cool/39vm-9g5d","Yes","Public, Federal: General",,,"HC 70, Box 15",,,"Torrey","UT","84775","USA",,,,,,,,,,"24642",,,,,
"24685","Yes","24 June 2016 - 11:28am EDT","7 July 2016 - 4:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-capulin-volcano-national-monument","DOI/NPS, Capulin Volcano National Monument",,"No","CAVO",,,"www.nps.gov/cavo",,,,"http://usfsc.grscicoll.org/cool/yg3r-nd51","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 40",,,"Des Moines","NM","88418","USA",,,,,,,,,,"24642",,,,,
"24686","Yes","24 June 2016 - 11:32am EDT","7 July 2016 - 4:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-cedar-breaks-national-monument","DOI/NPS, Cedar Breaks National Monument",,"No","CEBR",,,"www.nps.gov/cebr",,,,"http://usfsc.grscicoll.org/cool/rq70-jw0s","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","Cedar Breaks National Monument: Administrative Office","2390 West Highway 56","Suite #11","Cedar City","UT","84720","USA",,,,,,,,,,"24642",,,,,
"24687","Yes","24 June 2016 - 11:34am EDT","7 July 2016 - 4:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-chamizal-national-memorial","DOI/NPS, Chamizal National Memorial",,"No","CHAM",,,"www.nps.gov/cham",,,,"http://usfsc.grscicoll.org/cool/y8eh-x95z","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","800 South San Marcial Street",,,"El Paso","TX","79905","USA",,,,,,,,,,"24642",,,,,
"24688","Yes","24 June 2016 - 11:36am EDT","7 July 2016 - 4:32pm EDT","http://usfsc.grscicoll.org/institution/doinps-chaco-culture-national-historical-park","DOI/NPS, Chaco Culture National Historical Park",,"No","CHCU",,,"www.nps.gov/chcu",,,,"http://usfsc.grscicoll.org/cool/70ij-250d","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 220",,,"Nageezi","NM","87037","USA",,,,,,,,,,"24642",,,,,
"24689","Yes","24 June 2016 - 11:39am EDT","7 July 2016 - 4:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-chickasaw-national-recreation-area","DOI/NPS, Chickasaw National Recreation Area",,"No","CHIC",,,"www.nps.gov/chic",,,,"http://usfsc.grscicoll.org/cool/gz0i-ecni","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","901 W. 1st Street",,,"Sulphur","OK","73086","USA",,,,,,,,,,"24642",,,,,
"24690","Yes","24 June 2016 - 11:44am EDT","7 July 2016 - 4:33pm EDT","http://usfsc.grscicoll.org/institution/doinps-chiricahua-national-monument","DOI/NPS, Chiricahua National Monument",,"No","CHIR",,,"www.nps.gov/chir",,,,"http://usfsc.grscicoll.org/cool/vzy4-hn77","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","12856 E Rhyolite Creek Road",,,"Wilcox","AZ","85643","USA",,,,,,,,,,"24642",,,,,
"24691","Yes","24 June 2016 - 11:52am EDT","7 July 2016 - 4:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-coronado-national-memorial","DOI/NPS, Coronado National Memorial",,"No","CORO",,,"www.nps.gov/coro",,,,"http://usfsc.grscicoll.org/cool/qk4w-eknj","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","4101 E Montezuma Canyon Road",,,"Hereford","AZ","85615","USA",,,,,,,,,,"24642",,,,,
"24692","Yes","24 June 2016 - 11:54am EDT","7 July 2016 - 4:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-curecanti-national-recreation-area","DOI/NPS, Curecanti National Recreation Area",,"No","CURE",,,"www.nps.gov/cure",,,,"http://usfsc.grscicoll.org/cool/tcq0-jpg5","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","102 Elk Creek",,,"Gunnison","CO","81230","USA",,,,,,,,,,"24642",,,,,
"24693","Yes","24 June 2016 - 1:14pm EDT","7 July 2016 - 4:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-devils-tower-national-monument","DOI/NPS, Devils Tower National Monument",,"No","DETO",,,"www.nps.gov/deto",,,,"http://usfsc.grscicoll.org/cool/qfph-9nay","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 10",,,"Devils Tower","WY","82714","USA",,,,,,,,,,"24642",,,,,
"24694","Yes","24 June 2016 - 2:24pm EDT","7 July 2016 - 4:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-el-malpais-national-monument","DOI/NPS, El Malpais National Monument",,"No","ELMA",,,"www.nps.gov/elma",,,,"http://usfsc.grscicoll.org/cool/7x6f-j3xt","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","1900 E. Santa Fe Avenue",,,"Grants","NM","87020","USA",,,,,,,,,,"24642",,,,,
"24695","Yes","24 June 2016 - 2:26pm EDT","7 July 2016 - 4:38pm EDT","http://usfsc.grscicoll.org/institution/doinps-el-morro-national-monumnet","DOI/NPS, El Morro National Monumnet",,"No","ELMO",,,"www.nps.gov/elmo",,,,"http://usfsc.grscicoll.org/cool/tbp4-xmxn","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","HC 61 Box 43",,,"Ramah","NM","87321","USA",,,,,,,,,,"24642",,,,,
"24696","Yes","24 June 2016 - 2:29pm EDT","7 July 2016 - 4:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-bowie-national-historic-site","DOI/NPS, Fort Bowie National Historic Site",,"No","FOBO",,,"www.nps.gov/fobo",,,,"http://usfsc.grscicoll.org/cool/3m11-av8k","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 158",,,"Bowie","AZ","85605","USA",,,,,,,,,,"24642",,,,,
"24697","Yes","24 June 2016 - 2:36pm EDT","7 July 2016 - 4:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-fossil-butte-national-monument","DOI/NPS, Fossil Butte National Monument",,"No","FOBU",,,"www.nps.gov/fobu",,,,"http://usfsc.grscicoll.org/cool/28nk-58qv","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 592",,,"Kemmerer","WY","83101","USA",,,,,,,,,,"24642",,,,,
"24698","Yes","24 June 2016 - 3:10pm EDT","7 July 2016 - 4:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-davis-national-historic-site","DOI/NPS, Fort Davis National Historic Site",,"No","FODA",,,"www.nps.gov/foda",,,,"http://usfsc.grscicoll.org/cool/er4p-mf73","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 1379","101 Lt. Flipper Drive",,"Fort Davis","TX","79734","USA",,,,,,,,,,"24642",,,,,
"24699","Yes","24 June 2016 - 3:19pm EDT","7 July 2016 - 4:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-laramie-national-historic-site","DOI/NPS, Fort Laramie National Historic Site",,"No","FOLA",,,"www.nps.gov/fola",,,,"http://usfsc.grscicoll.org/cool/g346-4tyf","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","965 Gray Rocks Road",,,"Fort Laramie","WY","82212","USA",,,,,,,,,,"24642",,,,,
"24700","Yes","24 June 2016 - 3:20pm EDT","7 July 2016 - 4:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-union-national-monument","DOI/NPS, Fort Union National Monument",,"No","FOUN",,,"www.nps.gov/foun",,,,"http://usfsc.grscicoll.org/cool/0i5k-1hfe","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 127",,,"Watrous","NM","87753","USA",,,,,,,,,,"24642",,,,,
"24701","Yes","24 June 2016 - 3:22pm EDT","7 July 2016 - 4:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-gila-cliff-dwellings-national-monument","DOI/NPS, Gila Cliff Dwellings National Monument",,"No","GICL",,,"www.nps.gov/gicl",,,,"http://usfsc.grscicoll.org/cool/pvz4-89if","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","HC 68 Box 100",,,"Silver City","Nm","88061","USA",,,,,,,,,,"24642",,,,,
"24702","Yes","24 June 2016 - 3:29pm EDT","7 July 2016 - 4:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-glen-canyon-national-recreation-area","DOI/NPS, Glen Canyon National Recreation Area",,"No","GLCA",,,"www.nps.gov/glca",,,,"http://usfsc.grscicoll.org/cool/dzjm-cyk6","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 1507",,,"Page","AZ","86040","USA",,,,,,,,,,"24642",,,,,
"24703","Yes","24 June 2016 - 3:32pm EDT","7 July 2016 - 4:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-golden-spike-national-historic-site","DOI/NPS Golden Spike National Historic Site",,"No","GOSP",,,"www.nps.gov/gosp",,,,"http://usfsc.grscicoll.org/cool/ta73-bwie","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 897",,,"Brigham City","UT","84302","USA",,,,,,,,,,"24642",,,,,
"24704","Yes","24 June 2016 - 3:35pm EDT","7 July 2016 - 4:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-grant-kohrs-ranch-national-historic-site","DOI/NPS, Grant-Kohrs Ranch National Historic Site",,"No","GRKO",,,"www.nps.gov/grko",,,,"http://usfsc.grscicoll.org/cool/2m0q-6qxw","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","266 Warren Lane",,,"Deer Lodge","MT","59722","USA",,,,,,,,,,"24642",,,,,
"24705","Yes","24 June 2016 - 3:38pm EDT","7 July 2016 - 4:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-great-sand-dunes-national-park-and-preserve","DOI/NPS, Great Sand Dunes National Park and Preserve",,"No","GRSA",,,"www.nps.gov/grsa",,,,"http://usfsc.grscicoll.org/cool/yhjq-0p6a","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","Visitor Center","11999 State Highway 150",,"Mosca","CO","81146","USA",,,,,,,,,,"24642",,,,,
"24706","Yes","24 June 2016 - 3:41pm EDT","7 July 2016 - 4:38pm EDT","http://usfsc.grscicoll.org/institution/doinps-guadalupe-mountains-national-park","DOI/NPS, Guadalupe Mountains National Park",,"No","GUMO",,,"www.nps.gov/gumo",,,,"http://usfsc.grscicoll.org/cool/phgc-57im","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","400 Pine Canyon",,,"Salt Flat","TX","79847","USA",,,,,,,,,,"24642",,,,,
"24707","Yes","24 June 2016 - 3:43pm EDT","7 July 2016 - 4:38pm EDT","http://usfsc.grscicoll.org/institution/doinps-hovenweep-national-monument","DOI/NPS, Hovenweep National Monument",,"No","HOVE",,,"www.nps.gov/hove",,,,"http://usfsc.grscicoll.org/cool/w30r-frax","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","McElmo Route",,,"Cortez","CO","81321","USA",,,,,,,,,,"24642",,,,,
"24708","Yes","24 June 2016 - 3:45pm EDT","7 July 2016 - 4:38pm EDT","http://usfsc.grscicoll.org/institution/doinps-hubbell-trading-post-national-historic-site","DOI/NPS, Hubbell Trading Post National Historic Site",,"No","HUTR",,,"www.nps.gov/hutr",,,,"http://usfsc.grscicoll.org/cool/tpjf-1p46","Yes","Public, Federal: General",,"Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","PO Box 150",,,"Ganado","AZ","86505","USA",,,,,,,,,,"24642",,,,,
